"Id";"Title";"First Name";"Second Name";"Job";"Email";"Electorate";"Party";"Portfolios";"URL";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";;;;;;;
;"Mr";"David";"Southwick";;"david.southwick@parliament.vic.gov.au";"Caulfield";"LIB";;"http://www.davidsouthwick.com.au";;1;0;"Suite 1";"193 Balaclava Road";"Caulfield North";"VIC";3161;"(03) 9527 3866";;"(03) 9527 5144";;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Dr";"Bill";"Sykes";"Parliamentary Secretary for Primary Industries; ";"bill.sykes@parliament.vic.gov.au";"Benalla";"NAT";;"http://billsykes.com.au";;1;0;"Shop 2";"55 Carrier Street";"Benalla";"VIC";3672;"(03) 5762 2100";;"(03) 5762 4478";;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Murray";"Thompson";;"murray.thompson@parliament.vic.gov.au";"Sandringham";"LIB";;"http://www.murraythompson.com.au";;1;0;"Suite 3";"56-60 Bay Road";"Sandringham";"VIC";3191;"(03) 9598 2688";;"(03) 9598 5624";1;1;"PO Box 139";" ";"Sandringham";"VIC";3191;;;;;;;;;;;;;;;;;;;;
;"Ms";"Marsha";"Thomson";;"marsha.thomson@parliament.vic.gov.au";"Footscray";"ALP";;;;1;0;"204 Nicholson Street";;"Footscray";"VIC";3011;"(03) 9689 4283";;"(03) 9689 5979";;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Bill";"Tilley";;"bill.tilley@parliament.vic.gov.au";"Benambra";"LIB";;"http://www.billtilley.com.au";;1;0;"14 Stanley Street";;"Wodonga";"VIC";3690;"(02) 6024 4488";;"(02) 6056 1172";1;1;"Po Box 1719";" ";"Wodonga";"VIC";3689;;;;;;;;;;;;;;;;;;;;
;"Mr";"Ian";"Trezise";;"ian.trezise@parliament.vic.gov.au";"Geelong";"ALP";;;;1;0;"69A Pakington Street";;"Geelong West";"VIC";3218;"(03) 5221 3131";;"(03) 5223 2185";;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mrs";"Heidi";"Victoria";"Parliamentary Secretary to the Premier; Parliamentary Secretary Assisting the Premier with the Arts; ";"heidi.victoria@parliament.vic.gov.au";"Bayswater";"LIB";;"http://www.heidivictoria.com.au";;1;0;"2/40 Station Street";;"Bayswater";"VIC";3153;"(03) 9729 1622";;"(03) 9729 0912";;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Nick";"Wakeling";"Parliamentary Secretary for Health; ";"nick.wakeling@parliament.vic.gov.au";"Ferntree Gully";"LIB";;"http://www.nickwakeling.org.au";;1;0;"Unit 4";"91 Dorset Road";"Ferntree Gully";"VIC";3156;"(03) 9758 6011";;"(03) 9758 8053";1;1;"PO Box 551";" ";"Ferntree Gully";"VIC";3156;;;;;;;;;;;;;;;;;;;;
;"Mr";"Peter";"Walsh";"Deputy Leader of The Nationals; Minister for Agriculture and Food Security; Minister for Water; ";"peter.walsh@parliament.vic.gov.au";"Swan Hill";"NAT";;"http://www.peterwalsh.org.au";;1;0;"274 Campbell Street";;"Swan Hill";"VIC";3585;"(03) 5032 3154";;"(03) 5032 9483";3;0;"Level 20";"1 Spring Street";"Melbourne";"VIC";3000;"(03) 9938 5954";;"(03) 9658 4191";;;;;;;;;;;;;;;;;
;"Mr";"Graham";"Watt";;"graham.watt@parliament.vic.gov.au";"Burwood";"LIB";;"http://www.grahamwatt.com.au";;1;0;"1342 Toorak Road";;"Camberwell";"VIC";3124;"(03) 9809 1857";;"(03) 9809 0846";1;1;"PO Box 409";" ";"Burwood";"VIC";3125;;;;;;;;;;;;;;;;;;;;
;"Mr";"Paul";"Weller";;"paul.weller@parliament.vic.gov.au";"Rodney";"NAT";;"http://www.paulweller.com.au/";;1;0;"26 Percy Street";;"Echuca";"VIC";3564;"(03) 5482 2039";;"(03) 5482 3507";;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Kim";"Wells";"Treasurer; ";"kim.wells@parliament.vic.gov.au";"Scoresby";"LIB";;;;1;0;"9 Lynton Place";;"Scoresby";"VIC";3179;"(03) 9764 8988";;"(03) 9763 9816";1;1;"PO Box 4255";;"Knox City Centre";"VIC";3152;"(03) 9651 6255";;"(03) 9651 0759";3;0;"1 Treasury Place";;"Melbourne";"VIC";3002;;;;;;;;;;
;"Ms";"Mary";"Wooldridge";"Minister for Mental Health; Minister for Women's Affairs; Minister for Community Services; ";"mary.wooldridge@parliament.vic.gov.au";"Doncaster";"LIB";;"http://www.marywooldridge.com";;1;0;"Suite 2";"1020 Doncaster Road";"Doncaster East";"VIC";3109;"(03) 9841 5166";;"(03) 9841 5299";3;0;"Level 22";"50 Lonsdale Street";"Melbourne";"VIC";3000;"(03) 9096 7500";;"(03) 9096 3636";;;;;;;;;;;;;;;;;
;"Ms";"Lorraine";"Wreford";;"lorraine.wreford@parliament.vic.gov.au";"Mordialloc";"LIB";;"http://www.lorrainewreford.com.au";;1;0;"Suite 1";"1174 Nepean Highway";"Cheltenham";"VIC";3192;"(03) 9584 4013";;"(03) 9585 0046";1;1;"PO Box 233";" ";"Southland Centre";"VIC";3192;;;;;;;;;;;;;;;;;;;;
;"Mr";"Richard";"Wynne";"Shadow Minister for Housing; Shadow Minister for Local Government; Shadow Minister for Aboriginal Affairs and Closing the Gap; Shadow Minister for A Fairer Victoria; ";"richard.wynne@parliament.vic.gov.au";"Richmond";"ALP";;"http://www.richardwynne.net";;1;0;"112 Smith Street";;"Collingwood";"VIC";3066;"(03) 9415 8901";;"(03) 9415 8918";1;1;"PO Box 1474";" ";"Collingwood";"VIC";3066;;;;;;;;;;;;;;;;;;;;
